buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU00340703,47,5.983617021276595,1693.7770212765956,196.0,148.0,48.0
BU00342704,60,7.078833333333334,2041.9036666666666,335.0,233.0,102.0
BU00807404,20,6.461,1719.4265000000007,131.0,101.0,30.0
BU00808001,6,5.285,1529.903333333333,28.0,25.0,3.0
BU00808006,1,0.0,0.0,2.0,2.0,0.0
BU01411400,42,6.050238095238096,1723.9066666666668,321.0,205.0,116.0
BU01411401,26,7.17923076923077,2085.9692307692308,194.0,133.0,61.0
BU01530007,30,6.325666666666668,1878.3329999999994,352.0,209.0,143.0
BU01530101,21,6.1276190476190475,1791.959523809524,214.0,128.0,86.0
BU01602803,6,5.341666666666666,1438.295,76.0,45.0,31.0
BU01640603,22,6.541818181818183,1948.5159090909087,202.0,124.0,78.0
BU01640702,18,6.178888888888889,1799.805,184.0,109.0,75.0
BU01751001,3,5.843333333333334,1752.3533333333332,7.0,7.0,0.0
BU01840008,8,4.146249999999999,1220.2675000000002,78.0,50.0,28.0
BU02020103,41,5.697073170731707,1503.4921951219517,410.0,229.0,181.0
BU02020170,40,5.801000000000001,1662.47425,375.0,205.0,170.0
BU02020210,45,5.547555555555555,1584.4437777777778,449.0,255.0,194.0
BU02130500,6,6.378333333333334,1907.6483333333333,37.0,21.0,16.0
BU02140500,2,0.82,223.54,26.0,14.0,12.0
BU02140502,5,5.468,1613.7099999999998,25.0,17.0,8.0
BU02630408,3,3.8333333333333335,1077.01,20.0,14.0,6.0
BU02970105,3,2.8166666666666664,756.6233333333333,24.0,16.0,8.0
BU03010500,24,6.587083333333332,1944.6404166666664,221.0,142.0,79.0
BU03010509,4,5.8425,1746.9475000000002,29.0,20.0,9.0
BU0363NB07,15,7.176000000000001,1557.8440000000003,169.0,82.0,87.0
BU0363SC04,18,4.59,1323.727222222222,127.0,91.0,36.0
BU03940237,11,6.151818181818182,1759.7927272727275,106.0,70.0,36.0
BU03941663,1,0.0,0.0,30.0,6.0,24.0
BU03942038,9,6.547777777777778,1879.3366666666666,42.0,30.0,12.0
BU03970102,11,5.678181818181819,1537.978181818182,64.0,40.0,24.0
BU03990201,16,6.938124999999999,2030.1806250000004,91.0,62.0,29.0
BU04020204,23,7.349130434782609,2152.3708695652176,231.0,134.0,97.0
BU04201403,6,5.741666666666667,1697.905,37.0,25.0,12.0
BU04201501,6,4.503333333333333,1024.9766666666665,47.0,32.0,15.0
BU04411101,6,4.3133333333333335,1111.46,30.0,21.0,9.0
BU06371303,63,7.270158730158731,2114.51253968254,74.0,46.0,28.0
BU07480309,4,5.8225,1320.8225,33.0,24.0,9.0
BU07840205,9,5.12,1065.5133333333333,56.0,33.0,23.0
BU08281109,1,0.0,0.0,2.0,2.0,0.0
BU0363FM05,67,6.81268656716418,1651.3179104477617,855.0,417.0,438.0
BU03072802,34,6.0870588235294125,1793.5241176470586,170.0,125.0,45.0
BU03400201,20,5.2775,1465.5499999999997,98.0,72.0,26.0
BU04530401,24,5.323333333333333,1552.1879166666668,197.0,117.0,80.0
BU05460105,46,6.452391304347827,1682.2406521739128,476.0,281.0,195.0
BU06420301,83,6.286987951807231,1805.4808433734943,391.0,279.0,112.0
BU08551301,65,6.770461538461538,1830.4246153846148,441.0,253.0,188.0
BU08554308,64,6.352968750000002,1831.64109375,422.0,259.0,163.0
BU08556202,29,7.248275862068966,2118.0255172413786,161.0,98.0,63.0
BU08610208,3,4.793333333333334,827.7633333333333,22.0,13.0,9.0
BU08650001,10,6.347000000000001,1741.852,90.0,57.0,33.0
BU09350503,7,6.172857142857143,1514.5028571428572,77.0,42.0,35.0
BU09380001,7,6.975714285714285,1882.3028571428572,82.0,47.0,35.0
BU09881401,21,6.024761904761905,1775.3195238095234,202.0,131.0,71.0
BU15090109,3,5.5,1572.243333333333,12.0,10.0,2.0
BU17110527,10,7.018000000000001,1982.6360000000004,59.0,34.0,25.0
BU17230205,7,3.1471428571428577,915.8785714285714,48.0,28.0,20.0
BU17341702,6,3.4166666666666674,1015.2233333333334,23.0,17.0,6.0
BU17400106,3,4.176666666666667,1248.04,15.0,9.0,6.0
BU18910008,5,6.44,1925.3739999999998,46.0,32.0,14.0
BU19000607,2,1.73,404.33,22.0,15.0,7.0
BU19010215,22,5.127272727272728,1476.1390909090906,118.0,81.0,37.0
BU19040603,7,6.87,1672.3342857142857,23.0,16.0,7.0
BU19111390,4,5.19,1475.81,18.0,15.0,3.0
BU19111490,5,5.25,1568.822,19.0,15.0,4.0
BU19240205,4,2.4325,716.6975,22.0,16.0,6.0
BU19310809,1,0.0,0.0,4.0,3.0,1.0
