buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU08280000,0.0,1.0,2,1.0,2.0,0.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,5.0,7.0,12.0
BU08280001,0.0,1.0,1,2.0,2.0,0.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,6.0,8.0,14.0
BU08280002,1.0,0.0,2,2.0,2.0,2.0,1,2.0,2.0,0.0,2.0,0.0,1.0,0.0,3,9.0,11.0,20.0
BU08280100,0.0,2.0,2,2.0,2.0,2.0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,10.0,4.0,14.0
BU08280101,0.0,0.0,1,2.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
BU08280102,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08280103,0.0,1.0,1,1.0,2.0,0.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,5.0,6.0,11.0
BU08280104,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280105,0.0,0.0,2,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,5.0
BU08280106,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,3.0,5.0
BU08280200,0.0,0.0,2,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4.0,3.0,7.0
BU08280201,0.0,0.0,1,1.0,2.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,5.0,7.0
BU08280202,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280300,2.0,2.0,2,1.0,2.0,2.0,2,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1,15.0,6.0,21.0
BU08280301,0.0,1.0,2,0.0,2.0,0.0,2,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1,8.0,4.0,12.0
BU08280302,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,4.0
BU08280303,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,3.0,3.0,6.0
BU08280304,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08280305,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280306,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280307,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280400,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,4.0
BU08280401,0.0,2.0,2,2.0,2.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,6.0,6.0,12.0
BU08280402,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,2.0,6.0
BU08280403,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08280404,0.0,1.0,1,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4.0,1.0,5.0
BU08280500,0.0,0.0,1,1.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU08280501,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280502,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280503,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08280600,0.0,2.0,1,1.0,1.0,0.0,2,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0,8.0,3.0,11.0
BU08280601,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3.0,1.0,4.0
BU08280602,2.0,0.0,2,0.0,0.0,2.0,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1,10.0,3.0,13.0
BU08280603,0.0,1.0,2,1.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,7.0,3.0,10.0
BU08280604,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU08280605,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08280606,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,4.0
